선박,월,v_판정,주입TRO평균,배출TRO최대,주입전압,주입전류,미복귀트립,가스,전압미인가,★내라벨,종합요약(ai_remarks)
KMTC KEELUNG,2026-05,ACTION,,,3.71,1562.97,45,0,0,ACTION,"[운전 현황] 운용 9일(발라스팅 4일 / 디발라스팅 5일). 주입 26회 / 배출 23회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 1470m³/5.68h, 배출 1676m³/6.6h.  ‖  [ECU] 전류 1567.54A / 유량 249.66m³/h / ANU Operating.  ‖  🔧 밸브 이상 (Alarm 24건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  ⚠️ 기타 (Alarm 6건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  📡 통신 장애 (Trip 3건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🧪 중화제 이상 (Alarm 6건) — 중화제(NaCl) 초기 충전 필요. 레벨 센서 영점 교정 및 탱크 상태 확인  ‖  🔬 TRO 이상 (Alarm 2건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚠️ 반복 알람: CODE721(19회), CODE773(6회), CODE774(5회), CODE301(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [VRCS] 밸브 제어 시스템 알람 598건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] Trip 3건 발생. 주의 필요 — 알람 내역 및 TRO 수치를 모니터링하시기 바랍니다."
KMTC SINGAPORE,2026-05,ACTION,,,5.33,1918.38,38,0,0,ACTION,"[운전 현황] 운용 5일(발라스팅 4일 / 디발라스팅 3일). 주입 8회 / 배출 14회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 988m³/3.31h, 배출 2140m³/7.25h.  ‖  [ECU] 전류 1918.38A / 유량 293.55m³/h / ANU Operating.  ‖  🔬 TRO 이상 (Alarm 6건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  🔧 밸브 이상 (Alarm 22건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  🚨 안전 경고 (Alarm 6건) — >25%LEL Alarm, >50%LEL Fault(Shutdown). 전해조 가스 누출 점검. 환기 팬 작동 확인  ‖  🧪 중화제 이상 (Alarm 1건) — 중화제 보충 필요. 레벨 센서 및 공급 라인 밸브 점검  ‖  ⚠️ 반복 알람: CODE721(16회), CODE201(6회), CODE774(6회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동아시아, 동남아시아.  ‖  [VRCS] 밸브 제어 시스템 알람 316건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] 주의 필요 — 알람 내역 및 TRO 수치를 모니터링하시기 바랍니다."
KMTC SHANGHAI,2026-05,ACTION,,,3.45,1838.52,50,0,0,ACTION,"[운전 현황] 운용 9일(발라스팅 5일 / 디발라스팅 6일). 주입 11회 / 배출 15회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 1396m³/4.89h, 배출 1201m³/5.18h.  ‖  [ECU] 전류 1838.52A / 유량 268.58m³/h / ANU Operating.  ‖  🔧 밸브 이상 (Alarm 40건) — 냉각수 공급 밸브(F.W Inlet) 리미트 스위치 및 공압 점검. 에어 벤트 확인  ‖  🚨 안전 경고 (Alarm 9건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🔬 TRO 이상 (Alarm 6건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  ⚠️ 기타 (Alarm 9건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  💧 유량 이상 (Trip 4건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  🧪 중화제 이상 (Alarm 7건) — 중화제(NaCl) 초기 충전 필요. 레벨 센서 영점 교정 및 탱크 상태 확인  ‖  ⚠️ 반복 알람: CODE774(17회), CODE721(12회), CODE731(11회), CODE727(9회), CODE301(6회), CODE773(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동아시아, 동남아시아.  ‖  [VRCS] 밸브 제어 시스템 알람 3201건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] Trip 4건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC TIANJIN,2026-05,ACTION,,,5.2,2694.43,48,0,0,ACTION,"[운전 현황] 운용 3일(발라스팅 2일 / 디발라스팅 2일). 주입 5회 / 배출 4회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 2285m³/3.2h, 배출 437m³/0.69h.  ‖  [ECU] 전류 2708.32A / 유량 687.81m³/h / ANU Standby.  ‖  🔧 밸브 이상 (Alarm 25건) — 냉각수 공급 밸브(F.W Inlet) 리미트 스위치 및 공압 점검. 에어 벤트 확인  ‖  🔬 TRO 이상 (Trip 4건 / Alarm 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚠️ 기타 (Trip 2건 / Alarm 12건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  📡 통신 장애 (Trip 16건) — 해당 센서 배선 및 커넥터 점검. 센서 모듈 교체 필요 여부 확인  ‖  ⚠️ 반복 알람: CODE774(10회), CODE721(10회), CODE701(10회), CODE773(7회), CODE703(6회), CODE731(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [볼륨 미기록 의심] 1건.  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [VRCS] 밸브 제어 시스템 알람 86건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] Trip 22건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC HOCHIMINH,2026-01,WATCH,,,3.7,2535.83,10,0,0,WATCH,"[운전 현황] 주입 58회 / 배출 58회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 7404m³/11.28h, 배출 7123m³/12.45h.  ‖  [ECU] 전류 2535.83A / 유량 611m³/h / ANU Operating.  ‖  🔬 TRO 이상 (Trip 1건 / Alarm 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  💧 유량 이상 (Alarm 1건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  🧪 중화제 이상 (Alarm 3건) — 중화제(NaCl) 초기 충전 필요. 레벨 센서 영점 교정 및 탱크 상태 확인  ‖  🔧 밸브 이상 (Alarm 6건) — 밸브 반복 개폐 감지. 공압 라인 누기, 리미트 스위치, 솔레노이드 밸브 즉각 점검  ‖  ⚠️ 반복 알람: CODE201(31회), CODE200(19회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [볼륨 미기록 의심] 2건.  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 1건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC NHAVA SHEVA,2026-01,WATCH,6.42,1.12,3.8,2892.18,17,0,7,WATCH,"[운전 현황] 주입 29회 / 배출 12회. 주입 TRO 최솟값 0.15ppm / 평균 6.42ppm(5~10ppm 미달). 배출 TRO 최댓값 1.12ppm(IMO 기준 초과). 총 처리량: 주입 3656m³/8.49h, 배출 1867m³/4.15h.  ‖  [ECU] 전류 2908.05A / 유량 438.05m³/h / ANU Standby.  ‖  [TRO 경고] 배출 TRO 1.12ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  🔧 밸브 이상 (Alarm 21건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  ⚡ ECU/전원 이상 (Trip 4건) — 전자접촉기(MC) 고장. 전원 공급 상태, MC 코일/접점, MCCB 트립 여부 점검  ‖  📡 통신 장애 (Trip 1건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  🧪 중화제 이상 (Alarm 3건) — 중화제 보충 필요. 레벨 센서 및 공급 라인 밸브 점검  ‖  ⚠️ 기타 (Alarm 2건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🔬 TRO 이상 (Alarm 1건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  💧 유량 이상 (Trip 1건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  ⚠️ 반복 알람: CODE701(32회), CODE402(16회), CODE100(11회), CODE773(10회), CODE721(5회), CODE604(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [종료시간 누락] 1건, [볼륨 미기록 의심] 1건.  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [종합] Trip 6건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC NHAVA SHEVA,2026-02,WATCH,5.79,0.06,3.75,2869.47,18,0,6,WATCH,"[운전 현황] 주입 12회 / 배출 11회. 주입 TRO 최솟값 0.77ppm / 평균 5.79ppm(5~10ppm 미달). 배출 TRO 최댓값 0.06ppm(IMO 기준 충족). 총 처리량: 주입 835m³/1.92h, 배출 1774m³/3.43h.  ‖  [ECU] 전류 2892.07A / 유량 441.47m³/h / ANU Operating.  ‖  🔧 밸브 이상 (Alarm 20건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  💧 유량 이상 (Trip 1건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  📡 통신 장애 (Trip 1건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  ⚡ ECU/전원 이상 (Trip 4건) — 전자접촉기(MC) 고장. 전원 공급 상태, MC 코일/접점, MCCB 트립 여부 점검  ‖  🔬 TRO 이상 (Trip 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  🧪 중화제 이상 (Alarm 3건) — 중화제 보충 필요. 레벨 센서 및 공급 라인 밸브 점검  ‖  ⚠️ 반복 알람: CODE701(243회), CODE100(10회), CODE604(9회), CODE402(8회), CODE721(6회), CODE200(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [종료시간 누락] 2건.  ‖  [운항 해역] 인도양/중동, 기타, 동남아시아, 동아시아.  ‖  [종합] Trip 7건 발생, 주입 TRO 미달. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC TIANJIN,2026-03,WATCH,,,4.59,1862.03,24,0,0,WATCH,"[운전 현황] 주입 2회 / 배출 8회. 주입 TRO 미수신. 배출 TRO 최댓값 미수신. 총 처리량: 주입 531m³/1.11h, 배출 533m³/0.98h.  ‖  [ECU] 전류 1862.03A / 유량 504.9m³/h / ANU Operating.  ‖  ⚠️ 기타 (Alarm 2건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🔬 TRO 이상 (Trip 1건 / Alarm 1건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  🔧 밸브 이상 (Alarm 6건) — 밸브 작동 중 ECS 비정상 종료. 밸브 현재 위치 확인 후 수동 리셋  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  📡 통신 장애 (Trip 2건) — 해당 센서 배선 및 커넥터 점검. 센서 모듈 교체 필요 여부 확인  ‖  ⚠️ 반복 알람: CODE701(27회), CODE703(12회), CODE773(10회), CODE721(8회), CODE201(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동남아시아.  ‖  [종합] Trip 3건 발생. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC NHAVA SHEVA,2026-03,WATCH,6.19,4.3,4,3495.28,16,0,0,WATCH,"[운전 현황] 주입 15회 / 배출 10회. 주입 TRO 최솟값 0.26ppm / 평균 6.19ppm(5~10ppm 미달). 배출 TRO 최댓값 4.3ppm(IMO 기준 초과). 총 처리량: 주입 2119m³/5.13h, 배출 1296m³/2.16h.  ‖  [ECU] 전류 3495.28A / 유량 463.73m³/h / ANU Operating.  ‖  [TRO 경고] 배출 TRO 4.3ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  🔬 TRO 이상 (Alarm 2건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  📡 통신 장애 (Trip 1건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  ⚡ ECU/전원 이상 (Trip 1건) — 전자접촉기(MC) 고장. 전원 공급 상태, MC 코일/접점, MCCB 트립 여부 점검  ‖  💧 유량 이상 (Trip 1건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  🔧 밸브 이상 (Alarm 23건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  ⚠️ 반복 알람: CODE201(8회), CODE200(7회), CODE721(7회), CODE604(6회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [종료시간 누락] 3건, [중복기록 의심] 2건.  ‖  [운항 해역] 동남아시아, 인도양/중동.  ‖  [종합] Trip 3건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC MANILA,2026-05,WATCH,5.76,2.65,3,2604.36,12,0,0,WATCH,"[운전 현황] 운용 9일(발라스팅 4일 / 디발라스팅 5일). 주입 14회 / 배출 27회. 주입 TRO 최솟값 2.37ppm / 평균 5.76ppm(5~10ppm 미달). 배출 TRO 최댓값 2.65ppm(IMO 기준 초과). 총 처리량: 주입 2913m³/11.72h, 배출 3385m³/8.56h.  ‖  [ECU] 전류 2604.36A / 유량 312.1m³/h / ANU Operating.  ‖  [TRO 경고] 배출 TRO 2.65ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  🔧 밸브 이상 (Alarm 29건) — 밸브 작동 중 ECS 비정상 종료. 밸브 현재 위치 확인 후 수동 리셋  ‖  🚨 안전 경고 (Alarm 4건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🔬 TRO 이상 (Trip 18건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  🧪 중화제 이상 (Alarm 4건) — 중화제 보충 필요. 레벨 센서 및 공급 라인 밸브 점검  ‖  ⚠️ 반복 알람: CODE721(16회), CODE731(13회), CODE200(13회), CODE201(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [볼륨 미기록 의심] 3건.  ‖  [운항 해역] 인도양/중동, 동남아시아, 동아시아.  ‖  [VRCS] 밸브 제어 시스템 알람 587건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] Trip 18건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC PUSAN,2026-05,WATCH,5.91,0.61,3.02,806.21,8,0,3,WATCH,"[운전 현황] 운용 6일(발라스팅 5일 / 디발라스팅 3일). 주입 27회 / 배출 13회. 주입 TRO 최솟값 0.13ppm / 평균 5.91ppm(5~10ppm 미달). 배출 TRO 최댓값 0.61ppm(IMO 기준 초과). 총 처리량: 주입 485m³/3.51h, 배출 655m³/3.22h.  ‖  [ECU] 전류 817.89A / 유량 174.66m³/h / ANU Operating. ⚠️ 평균 817.89A (저전류 — 처리 성능 저하 가능).  ‖  ⚡ ECU/전원 이상 (Trip 19건 / Alarm 17건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  🚨 안전 경고 (Alarm 9건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🔧 밸브 이상 (Alarm 24건) — 냉각수 공급 밸브(F.W Inlet) 리미트 스위치 및 공압 점검. 에어 벤트 확인  ‖  🔬 TRO 이상 (Trip 3건 / Alarm 2건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  💧 유량 이상 (Alarm 1건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  🧪 중화제 이상 (Alarm 2건) — 중화제 보충 필요. 레벨 센서 및 공급 라인 밸브 점검  ‖  ⚠️ 반복 알람: CODE100(36회), CODE721(13회), CODE727(9회), CODE774(6회), CODE731(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동남아시아, 동아시아.  ‖  [VRCS] 밸브 제어 시스템 알람 324건 — BWTS 판정과 별개로 별도 조치 필요.  ‖  [종합] Trip 22건 발생, 주입 TRO 미달, 배출 TRO 기준 초과. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC JAKARTA,2026-02,WATCH,5.85,,5.13,1634.42,14,0,0,WATCH,"[운전 현황] 주입 18회 / 배출 0회. 주입 TRO 최솟값 0.15ppm / 평균 5.85ppm(5~10ppm 미달). 배출 TRO 최댓값 미수신. 총 처리량: 주입 1500m³/5.77h.  ‖  [ECU] 전류 1634.42A / 유량 261.94m³/h / ANU Standby.  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🔧 밸브 이상 (Alarm 22건) — 냉각수 공급 밸브(F.W Inlet) 리미트 스위치 및 공압 점검. 에어 벤트 확인  ‖  🔬 TRO 이상 (Trip 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚠️ 반복 알람: CODE721(31회), CODE727(7회), CODE774(7회), CODE731(7회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동아시아.  ‖  [종합] Trip 1건 발생, 주입 TRO 미달. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC JEBEL ALI,2026-03,WATCH,3.75,0.19,3.58,1786.85,10,0,0,WATCH,"[운전 현황] 주입 10회 / 배출 7회. 주입 TRO 최솟값 0.56ppm / 평균 3.75ppm(5~10ppm 미달). 배출 TRO 최댓값 0.19ppm(IMO 기준 초과). 총 처리량: 주입 287m³/0.86h, 배출 614m³/1.35h.  ‖  [ECU] 전류 1786.85A / 유량 422.98m³/h / ANU Operating.  ‖  🔧 밸브 이상 (Alarm 17건) — 냉각수 공급 밸브(F.W Inlet) 리미트 스위치 및 공압 점검. 에어 벤트 확인  ‖  ⚡ ECU/전원 이상 (Alarm 2건) — ECU 내부 점검 — 전류 과부하(>PRU×1125A), 고압(>4.5bar), 고온(>45°C), VLS 에러 가능성. PRU 상태 및 전극 확인  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  🔬 TRO 이상 (Alarm 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  ⚠️ 반복 알람: CODE774(12회), CODE100(5회), CODE721(5회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [볼륨 미기록 의심] 1건.  ‖  [운항 해역] 인도양/중동, 동남아시아, 동아시아.  ‖  [종합] 주입 TRO 미달, 배출 TRO 기준 초과. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC MANILA,2026-02,WATCH,6.01,4.05,3,2778.9,12,0,0,WATCH,"[운전 현황] 주입 10회 / 배출 17회. 주입 TRO 최솟값 2.94ppm / 평균 6.01ppm(5~10ppm 미달). 배출 TRO 최댓값 4.05ppm(IMO 기준 초과). 총 처리량: 주입 1724m³/4.64h, 배출 3681m³/7.7h.  ‖  [ECU] 전류 2778.9A / 유량 436.6m³/h / ANU Operating.  ‖  [TRO 경고] 배출 TRO 4.05ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  🔬 TRO 이상 (Trip 2건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  🔧 밸브 이상 (Alarm 15건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  💧 유량 이상 (Alarm 1건) — 유량 <15% (3분 지속 Alarm, 5분 Fault). 해수 펌프, 스트레이너 막힘, 흡입 밸브 점검  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 반복 알람: CODE731(10회), CODE201(9회) — 근본 원인 분석(RCA) 필요  ‖  [운전 이상] [종료시간 누락] 1건, [중복기록 의심] 1건.  ‖  [운항 해역] 동아시아, 동남아시아.  ‖  [종합] Trip 2건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC MANILA,2026-04,WATCH,6.43,4.21,3,3303.7,10,0,0,WATCH,"[운전 현황] 운용 7일(발라스팅 3일 / 디발라스팅 5일). 주입 5회 / 배출 14회. 주입 TRO 최솟값 3.99ppm / 평균 6.43ppm(5~10ppm 미달). 배출 TRO 최댓값 4.21ppm(IMO 기준 초과). 총 처리량: 주입 917m³/2.09h, 배출 4080m³/9.17h.  ‖  [ECU] 전류 3303.7A / 유량 444.07m³/h / ANU Operating.  ‖  [TRO 경고] 배출 TRO 4.21ppm — IMO 기준(0.1ppm) 대폭 초과. TRO 센서 교차오염, Ballast/Deballast 컬럼 혼동, 또는 중화 불량 가능성. Data Log 원본 확인 권장.  ‖  🔧 밸브 이상 (Alarm 13건) — 밸브 작동 중 ECS 비정상 종료. 밸브 현재 위치 확인 후 수동 리셋  ‖  🔬 TRO 이상 (Trip 1건) — Ballast >10mg/L 또는 Deballast >0.1mg/L(IMO)/>0.07mg/L(USCG). STS 주입 펌프 및 ANU 탱크 레벨 확인  ‖  📡 통신 장애 (Trip 1건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  ⚠️ 기타 (Alarm 1건) — 상세 원인 확인 후 제조사 기술지원 요청  ‖  🚨 안전 경고 (Alarm 1건) — IMO 규정 위반 가능성. 즉시 운전 중지 후 밸브 라인업 및 TRO 센서 확인  ‖  ⚠️ 반복 알람: CODE731(9회), CODE201(7회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 동아시아, 인도양/중동.  ‖  [종합] Trip 2건 발생, 주입 TRO 미달, 배출 TRO 기준 초과, 배출 TRO 이상값 확인 필요. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
KMTC SHENZHEN,2026-01,WATCH,4.58,0.05,4,2096.03,7,0,554,WATCH,"[운전 현황] 주입 15회 / 배출 13회. 주입 TRO 최솟값 1.66ppm / 평균 4.58ppm(5~10ppm 미달). 배출 TRO 최댓값 0.05ppm(IMO 기준 충족). 총 처리량: 주입 1496.46m³/4.55h, 배출 2810.44m³/9.23h.  ‖  [ECU] 전류 2096.03A / 유량 312.35m³/h / ANU Operating.  ‖  🔬 TRO 이상 (Trip 1건) — Ballast 중 TRO <5mg/L (3회 연속 시 발생). CLX 시약 유효기간 및 TSU Bypass Line 소통 상태 점검  ‖  🔧 밸브 이상 (Alarm 5건) — 밸브 공압 실린더, 리미트 스위치, 솔레노이드 밸브 점검  ‖  🚨 안전 경고 (Trip 1건) — >25%LEL Alarm, >50%LEL Fault(Shutdown). 전해조 가스 누출 점검. 환기 팬 작동 확인  ‖  📡 통신 장애 (Trip 1건) — ECS 장비 간 통신 두절. 1분 지속 시 Shutdown. RTU/AIM 모듈 케이블 및 커넥터 점검  ‖  ⚡ ECU/전원 이상 (Alarm 1건) — 자동 운전 불가 상태. RCM 셀렉트 스위치 변경 또는 원인 알람 확인 후 리셋  ‖  ⚠️ 반복 알람: CODE701(12회), CODE606(5회) — 근본 원인 분석(RCA) 필요  ‖  [운항 해역] 태평양, 동아시아.  ‖  [종합] Trip 3건 발생, 주입 TRO 미달. 즉각적인 장비 점검 및 원인 분석이 필요합니다. 알람 다발 — 정비 이력 확인 권장."
